text,labels,clean_text,text_tokens,clean_text_tokens,label_tokens
"Meanwhile , violence across Iraq continues .",O O O O B-geo O O,"meanwhile , violence across iraq continues .","['Meanwhile', ',', 'violence', 'across', 'Iraq', 'continues', '.']","['meanwhile', ',', 'violence', 'across', 'iraq', 'continues', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O']"
""" One good turn deserves another . """,O O O O O O O O,""" one good turn deserves another . ""","['""', 'One', 'good', 'turn', 'deserves', 'another', '.', '""']","['""', 'one', 'good', 'turn', 'deserves', 'another', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Thursday .,B-tim O,thursday .,"['Thursday', '.']","['thursday', '.']","['B-tim', 'O']"
Russia backed Mr. Yushchenko 's opponent,B-geo O B-per B-geo O O,russia backed mr. yushchenko 's opponent,"['Russia', 'backed', 'Mr.', 'Yushchenko', ""'s"", 'opponent']","['russia', 'backed', 'mr.', 'yushchenko', ""'s"", 'opponent']","['B-geo', 'O', 'B-per', 'B-geo', 'O', 'O']"
Five workers remain missing .,O O O O O,five workers remain missing .,"['Five', 'workers', 'remain', 'missing', '.']","['five', 'workers', 'remain', 'missing', '.']","['O', 'O', 'O', 'O', 'O']"
Ruth Reader narrates .,B-per I-per O O,ruth reader narrates .,"['Ruth', 'Reader', 'narrates', '.']","['ruth', 'reader', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
Neighboring Russia opposes Georgia 's NATO membership aspirations .,O B-geo O B-geo O B-org O O O,neighboring russia opposes georgia 's nato membership aspirations .,"['Neighboring', 'Russia', 'opposes', 'Georgia', ""'s"", 'NATO', 'membership', 'aspirations', '.']","['neighboring', 'russia', 'opposes', 'georgia', ""'s"", 'nato', 'membership', 'aspirations', '.']","['O', 'B-geo', 'O', 'B-geo', 'O', 'B-org', 'O', 'O', 'O']"
"Ojedokun , Tuesday .",B-geo O B-tim O,"ojedokun , tuesday .","['Ojedokun', ',', 'Tuesday', '.']","['ojedokun', ',', 'tuesday', '.']","['B-geo', 'O', 'B-tim', 'O']"
VOA 's Carolyn Weaver reports .,B-org O B-per I-per O O,voa 's carolyn weaver reports .,"['VOA', ""'s"", 'Carolyn', 'Weaver', 'reports', '.']","['voa', ""'s"", 'carolyn', 'weaver', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
VOA 's Carol Pearson explains .,B-org O B-per I-per O O,voa 's carol pearson explains .,"['VOA', ""'s"", 'Carol', 'Pearson', 'explains', '.']","['voa', ""'s"", 'carol', 'pearson', 'explains', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Fifteen dollars .,O O O,fifteen dollars .,"['Fifteen', 'dollars', '.']","['fifteen', 'dollars', '.']","['O', 'O', 'O']"
Benin 's constitution grants lawmakers four-year terms .,B-geo O O O O O O O,benin 's constitution grants lawmakers four-year terms .,"['Benin', ""'s"", 'constitution', 'grants', 'lawmakers', 'four-year', 'terms', '.']","['benin', ""'s"", 'constitution', 'grants', 'lawmakers', 'four-year', 'terms', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
European markets also posted strong gains .,O O O O O O O,european markets also posted strong gains .,"['European', 'markets', 'also', 'posted', 'strong', 'gains', '.']","['european', 'markets', 'also', 'posted', 'strong', 'gains', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Murray ousted third-seeded American Ginepri ( 04-Jun , 06-Apr , 06-Mar ) .",B-per O O O B-per O O O O O O O O,"murray ousted third-seeded american ginepri ( 04-jun , 06-apr , 06-mar ) .","['Murray', 'ousted', 'third-seeded', 'American', 'Ginepri', '(', '04-Jun', ',', '06-Apr', ',', '06-Mar', ')', '.']","['murray', 'ousted', 'third-seeded', 'american', 'ginepri', '(', '04-jun', ',', '06-apr', ',', '06-mar', ')', '.']","['B-per', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
IRAQ-POVERTY ( Washington ),B-eve O B-geo O,iraq-poverty ( washington ),"['IRAQ-POVERTY', '(', 'Washington', ')']","['iraq-poverty', '(', 'washington', ')']","['B-eve', 'O', 'B-geo', 'O']"
""" Little friends may prove great friends . """,O O O O O O O O O,""" little friends may prove great friends . ""","['""', 'Little', 'friends', 'may', 'prove', 'great', 'friends', '.', '""']","['""', 'little', 'friends', 'may', 'prove', 'great', 'friends', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Also Tuesday , two rockets hit central Kabul , injuring three people .",O B-tim O O O O O B-geo O O O O O,"also tuesday , two rockets hit central kabul , injuring three people .","['Also', 'Tuesday', ',', 'two', 'rockets', 'hit', 'central', 'Kabul', ',', 'injuring', 'three', 'people', '.']","['also', 'tuesday', ',', 'two', 'rockets', 'hit', 'central', 'kabul', ',', 'injuring', 'three', 'people', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
"Another benchmark oil price , Brent crude , fell even lower .",O O O O O B-per O O O O O O,"another benchmark oil price , brent crude , fell even lower .","['Another', 'benchmark', 'oil', 'price', ',', 'Brent', 'crude', ',', 'fell', 'even', 'lower', '.']","['another', 'benchmark', 'oil', 'price', ',', 'brent', 'crude', ',', 'fell', 'even', 'lower', '.']","['O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O']"
UN Secretary-General Kofi Annan,B-org B-per I-per I-per,un secretary-general kofi annan,"['UN', 'Secretary-General', 'Kofi', 'Annan']","['un', 'secretary-general', 'kofi', 'annan']","['B-org', 'B-per', 'I-per', 'I-per']"
Moodie next faces French sixth-seed Sebastien Grosjean .,B-org O O B-gpe O B-per I-per O,moodie next faces french sixth-seed sebastien grosjean .,"['Moodie', 'next', 'faces', 'French', 'sixth-seed', 'Sebastien', 'Grosjean', '.']","['moodie', 'next', 'faces', 'french', 'sixth-seed', 'sebastien', 'grosjean', '.']","['B-org', 'O', 'O', 'B-gpe', 'O', 'B-per', 'I-per', 'O']"
"American Kevin Kim ousted compatriot Scott Oudsema , 06-Jan , 06-Mar .",B-org B-per I-per O O B-per I-per O B-geo O B-geo O,"american kevin kim ousted compatriot scott oudsema , 06-jan , 06-mar .","['American', 'Kevin', 'Kim', 'ousted', 'compatriot', 'Scott', 'Oudsema', ',', '06-Jan', ',', '06-Mar', '.']","['american', 'kevin', 'kim', 'ousted', 'compatriot', 'scott', 'oudsema', ',', '06-jan', ',', '06-mar', '.']","['B-org', 'B-per', 'I-per', 'O', 'O', 'B-per', 'I-per', 'O', 'B-geo', 'O', 'B-geo', 'O']"
Dravid 's 117-ball knock contained seven boundaries .,B-org O O O O O O O,dravid 's 117-ball knock contained seven boundaries .,"['Dravid', ""'s"", '117-ball', 'knock', 'contained', 'seven', 'boundaries', '.']","['dravid', ""'s"", '117-ball', 'knock', 'contained', 'seven', 'boundaries', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Paige Kollock reports .,B-per I-per O O,paige kollock reports .,"['Paige', 'Kollock', 'reports', '.']","['paige', 'kollock', 'reports', '.']","['B-per', 'I-per', 'O', 'O']"
"Daimler announced 8,500 production job cuts last year .",B-org O O O O O O O O,"daimler announced 8,500 production job cuts last year .","['Daimler', 'announced', '8,500', 'production', 'job', 'cuts', 'last', 'year', '.']","['daimler', 'announced', '8,500', 'production', 'job', 'cuts', 'last', 'year', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mr. Karzai escaped unharmed .,B-per I-per O O O,mr. karzai escaped unharmed .,"['Mr.', 'Karzai', 'escaped', 'unharmed', '.']","['mr.', 'karzai', 'escaped', 'unharmed', '.']","['B-per', 'I-per', 'O', 'O', 'O']"
Al-Qaida 's North African wing later claimed responsibility .,B-org O B-geo B-gpe O O O O O,al-qaida 's north african wing later claimed responsibility .,"['Al-Qaida', ""'s"", 'North', 'African', 'wing', 'later', 'claimed', 'responsibility', '.']","['al-qaida', ""'s"", 'north', 'african', 'wing', 'later', 'claimed', 'responsibility', '.']","['B-org', 'O', 'B-geo', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
George W. Bush,B-per I-per I-per,george w. bush,"['George', 'W.', 'Bush']","['george', 'w.', 'bush']","['B-per', 'I-per', 'I-per']"
Significant informal market activity flourishes .,O O O O O O,significant informal market activity flourishes .,"['Significant', 'informal', 'market', 'activity', 'flourishes', '.']","['significant', 'informal', 'market', 'activity', 'flourishes', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
Recep Tayyip Erdogan,B-per I-per I-per,recep tayyip erdogan,"['Recep', 'Tayyip', 'Erdogan']","['recep', 'tayyip', 'erdogan']","['B-per', 'I-per', 'I-per']"
Dairy farming supports domestic consumption ; crops furnish winter fodder .,O O O O O O O O O O O,dairy farming supports domestic consumption ; crops furnish winter fodder .,"['Dairy', 'farming', 'supports', 'domestic', 'consumption', ';', 'crops', 'furnish', 'winter', 'fodder', '.']","['dairy', 'farming', 'supports', 'domestic', 'consumption', ';', 'crops', 'furnish', 'winter', 'fodder', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
British authorities detained 23 people last week .,B-gpe O O O O O O O,british authorities detained 23 people last week .,"['British', 'authorities', 'detained', '23', 'people', 'last', 'week', '.']","['british', 'authorities', 'detained', '23', 'people', 'last', 'week', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Jury selection started Monday .,O O O B-tim O,jury selection started monday .,"['Jury', 'selection', 'started', 'Monday', '.']","['jury', 'selection', 'started', 'monday', '.']","['O', 'O', 'O', 'B-tim', 'O']"
Elaine Lu narrates .,B-per I-per O O,elaine lu narrates .,"['Elaine', 'Lu', 'narrates', '.']","['elaine', 'lu', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
Authorities say U.S. troops supported local forces .,O O B-geo O O O O O,authorities say u.s. troops supported local forces .,"['Authorities', 'say', 'U.S.', 'troops', 'supported', 'local', 'forces', '.']","['authorities', 'say', 'u.s.', 'troops', 'supported', 'local', 'forces', '.']","['O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
Tibetan leader cancels foreign travel .,B-gpe O O O O O,tibetan leader cancels foreign travel .,"['Tibetan', 'leader', 'cancels', 'foreign', 'travel', '.']","['tibetan', 'leader', 'cancels', 'foreign', 'travel', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O']"
Gang members also attacked police stations .,O O O O O O O,gang members also attacked police stations .,"['Gang', 'members', 'also', 'attacked', 'police', 'stations', '.']","['gang', 'members', 'also', 'attacked', 'police', 'stations', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
Iran 's newly elected President Mahmoud Ahmadinejad,B-geo O O O B-per I-per I-per,iran 's newly elected president mahmoud ahmadinejad,"['Iran', ""'s"", 'newly', 'elected', 'President', 'Mahmoud', 'Ahmadinejad']","['iran', ""'s"", 'newly', 'elected', 'president', 'mahmoud', 'ahmadinejad']","['B-geo', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per']"
Japanese tourists predominate .,B-gpe O O O,japanese tourists predominate .,"['Japanese', 'tourists', 'predominate', '.']","['japanese', 'tourists', 'predominate', '.']","['B-gpe', 'O', 'O', 'O']"
Mr. Chen told reporters,B-per I-per O O,mr. chen told reporters,"['Mr.', 'Chen', 'told', 'reporters']","['mr.', 'chen', 'told', 'reporters']","['B-per', 'I-per', 'O', 'O']"
"Bolton labeled Maduro 's actions "" propaganda . """,B-per O B-geo O O O O O O,"bolton labeled maduro 's actions "" propaganda . ""","['Bolton', 'labeled', 'Maduro', ""'s"", 'actions', '""', 'propaganda', '.', '""']","['bolton', 'labeled', 'maduro', ""'s"", 'actions', '""', 'propaganda', '.', '""']","['B-per', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
Questions ?,O O,questions ?,"['Questions', '?']","['questions', '?']","['O', 'O']"
...,O,...,['...'],['...'],['O']
Bermet Akayeva,B-per I-per,bermet akayeva,"['Bermet', 'Akayeva']","['bermet', 'akayeva']","['B-per', 'I-per']"
Many others remain missing .,O O O O O,many others remain missing .,"['Many', 'others', 'remain', 'missing', '.']","['many', 'others', 'remain', 'missing', '.']","['O', 'O', 'O', 'O', 'O']"
"Another Swiss athlete , Daniela Meuli , finished third .",O B-gpe O O B-per I-per O O O O,"another swiss athlete , daniela meuli , finished third .","['Another', 'Swiss', 'athlete', ',', 'Daniela', 'Meuli', ',', 'finished', 'third', '.']","['another', 'swiss', 'athlete', ',', 'daniela', 'meuli', ',', 'finished', 'third', '.']","['O', 'B-gpe', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O']"
"Near Baghdad , separate attacks killed 13 people , including six Iraqi police officers .",B-tim B-geo O O O O O O O O O B-gpe O O O,"near baghdad , separate attacks killed 13 people , including six iraqi police officers .","['Near', 'Baghdad', ',', 'separate', 'attacks', 'killed', '13', 'people', ',', 'including', 'six', 'Iraqi', 'police', 'officers', '.']","['near', 'baghdad', ',', 'separate', 'attacks', 'killed', '13', 'people', ',', 'including', 'six', 'iraqi', 'police', 'officers', '.']","['B-tim', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O']"
VOA 's Carolyn Presutti reports .,B-org O B-per I-per O O,voa 's carolyn presutti reports .,"['VOA', ""'s"", 'Carolyn', 'Presutti', 'reports', '.']","['voa', ""'s"", 'carolyn', 'presutti', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Lower ranking employees face smaller cuts .,O O O O O O O,lower ranking employees face smaller cuts .,"['Lower', 'ranking', 'employees', 'face', 'smaller', 'cuts', '.']","['lower', 'ranking', 'employees', 'face', 'smaller', 'cuts', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
VOA 's Jessica Berman reports .,B-org O B-per I-per O O,voa 's jessica berman reports .,"['VOA', ""'s"", 'Jessica', 'Berman', 'reports', '.']","['voa', ""'s"", 'jessica', 'berman', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Nnamdi Moweta reports .,B-per I-per O O,nnamdi moweta reports .,"['Nnamdi', 'Moweta', 'reports', '.']","['nnamdi', 'moweta', 'reports', '.']","['B-per', 'I-per', 'O', 'O']"
London prices also rose .,B-geo O O O O,london prices also rose .,"['London', 'prices', 'also', 'rose', '.']","['london', 'prices', 'also', 'rose', '.']","['B-geo', 'O', 'O', 'O', 'O']"
VOA 's Chris Simkins reports .,B-org O B-per I-per O O,voa 's chris simkins reports .,"['VOA', ""'s"", 'Chris', 'Simkins', 'reports', '.']","['voa', ""'s"", 'chris', 'simkins', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
VOA 's Carolyn Presutti explains .,B-org O B-per I-per O O,voa 's carolyn presutti explains .,"['VOA', ""'s"", 'Carolyn', 'Presutti', 'explains', '.']","['voa', ""'s"", 'carolyn', 'presutti', 'explains', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
VOA 's Melinda Smith explains .,B-org O B-per I-per O O,voa 's melinda smith explains .,"['VOA', ""'s"", 'Melinda', 'Smith', 'explains', '.']","['voa', ""'s"", 'melinda', 'smith', 'explains', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Two U.S. soldiers received minor injuries .,O B-geo O O O O O,two u.s. soldiers received minor injuries .,"['Two', 'U.S.', 'soldiers', 'received', 'minor', 'injuries', '.']","['two', 'u.s.', 'soldiers', 'received', 'minor', 'injuries', '.']","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
VOA 's Deborah Block reports .,B-org O B-per I-per O O,voa 's deborah block reports .,"['VOA', ""'s"", 'Deborah', 'Block', 'reports', '.']","['voa', ""'s"", 'deborah', 'block', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Al-Qaida-linked insurgents claimed responsibility .,O O O O O,al-qaida-linked insurgents claimed responsibility .,"['Al-Qaida-linked', 'insurgents', 'claimed', 'responsibility', '.']","['al-qaida-linked', 'insurgents', 'claimed', 'responsibility', '.']","['O', 'O', 'O', 'O', 'O']"
Theyab escaped unhurt .,B-per O O O,theyab escaped unhurt .,"['Theyab', 'escaped', 'unhurt', '.']","['theyab', 'escaped', 'unhurt', '.']","['B-per', 'O', 'O', 'O']"
US minimum wage laws apply .,B-org O O O O O,us minimum wage laws apply .,"['US', 'minimum', 'wage', 'laws', 'apply', '.']","['us', 'minimum', 'wage', 'laws', 'apply', '.']","['B-org', 'O', 'O', 'O', 'O', 'O']"
Officials said Amer Al-Enezi died late Tuesday .,O O B-per I-per O O B-tim O,officials said amer al-enezi died late tuesday .,"['Officials', 'said', 'Amer', 'Al-Enezi', 'died', 'late', 'Tuesday', '.']","['officials', 'said', 'amer', 'al-enezi', 'died', 'late', 'tuesday', '.']","['O', 'O', 'B-per', 'I-per', 'O', 'O', 'B-tim', 'O']"
Indian investigators arrested eight suspects .,B-gpe O O O O O,indian investigators arrested eight suspects .,"['Indian', 'investigators', 'arrested', 'eight', 'suspects', '.']","['indian', 'investigators', 'arrested', 'eight', 'suspects', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O']"
Janice Karpinski,B-per I-per,janice karpinski,"['Janice', 'Karpinski']","['janice', 'karpinski']","['B-per', 'I-per']"
Harbhajan Singh finished Feb-88 .,B-per I-per O O O,harbhajan singh finished feb-88 .,"['Harbhajan', 'Singh', 'finished', 'Feb-88', '.']","['harbhajan', 'singh', 'finished', 'feb-88', '.']","['B-per', 'I-per', 'O', 'O', 'O']"
"Japan surrendered unconditionally shortly afterwards , ending World War Two .",B-geo O O O O O O O O O O,"japan surrendered unconditionally shortly afterwards , ending world war two .","['Japan', 'surrendered', 'unconditionally', 'shortly', 'afterwards', ',', 'ending', 'World', 'War', 'Two', '.']","['japan', 'surrendered', 'unconditionally', 'shortly', 'afterwards', ',', 'ending', 'world', 'war', 'two', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Nina-Maria Potts reports .,B-per I-per O O,nina-maria potts reports .,"['Nina-Maria', 'Potts', 'reports', '.']","['nina-maria', 'potts', 'reports', '.']","['B-per', 'I-per', 'O', 'O']"
Mr. Peres supported Mr. Sharon 's disengagement plan .,B-per I-per O B-per I-per O O O O,mr. peres supported mr. sharon 's disengagement plan .,"['Mr.', 'Peres', 'supported', 'Mr.', 'Sharon', ""'s"", 'disengagement', 'plan', '.']","['mr.', 'peres', 'supported', 'mr.', 'sharon', ""'s"", 'disengagement', 'plan', '.']","['B-per', 'I-per', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O']"
Venezuela 's Citgo Petroleum Corporation also pledged $ 1 million towards relief efforts .,B-geo O B-org I-org I-org O O O O O O O O O,venezuela 's citgo petroleum corporation also pledged $ 1 million towards relief efforts .,"['Venezuela', ""'s"", 'Citgo', 'Petroleum', 'Corporation', 'also', 'pledged', '$', '1', 'million', 'towards', 'relief', 'efforts', '.']","['venezuela', ""'s"", 'citgo', 'petroleum', 'corporation', 'also', 'pledged', '$', '1', 'million', 'towards', 'relief', 'efforts', '.']","['B-geo', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Denis Gremelmayr ousted fellow German Bjorn Phau , 06-Apr , 06-Mar .",B-per I-per O O B-gpe B-per I-per O O O O O,"denis gremelmayr ousted fellow german bjorn phau , 06-apr , 06-mar .","['Denis', 'Gremelmayr', 'ousted', 'fellow', 'German', 'Bjorn', 'Phau', ',', '06-Apr', ',', '06-Mar', '.']","['denis', 'gremelmayr', 'ousted', 'fellow', 'german', 'bjorn', 'phau', ',', '06-apr', ',', '06-mar', '.']","['B-per', 'I-per', 'O', 'O', 'B-gpe', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O']"
"Mr. Annan urges new joint action , including tougher inspection rules .",B-per I-per O O O O O O O O O O,"mr. annan urges new joint action , including tougher inspection rules .","['Mr.', 'Annan', 'urges', 'new', 'joint', 'action', ',', 'including', 'tougher', 'inspection', 'rules', '.']","['mr.', 'annan', 'urges', 'new', 'joint', 'action', ',', 'including', 'tougher', 'inspection', 'rules', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Nature exceeds nurture .,O O O O,nature exceeds nurture .,"['Nature', 'exceeds', 'nurture', '.']","['nature', 'exceeds', 'nurture', '.']","['O', 'O', 'O', 'O']"
Winds reached well past 200 kilometers per hour .,O O O O O O O O O,winds reached well past 200 kilometers per hour .,"['Winds', 'reached', 'well', 'past', '200', 'kilometers', 'per', 'hour', '.']","['winds', 'reached', 'well', 'past', '200', 'kilometers', 'per', 'hour', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
One victim remains unidentified .,O O O O O,one victim remains unidentified .,"['One', 'victim', 'remains', 'unidentified', '.']","['one', 'victim', 'remains', 'unidentified', '.']","['O', 'O', 'O', 'O', 'O']"
VOA 's Nathan King reports .,B-org O B-per I-per O O,voa 's nathan king reports .,"['VOA', ""'s"", 'Nathan', 'King', 'reports', '.']","['voa', ""'s"", 'nathan', 'king', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
